id,nome,destaque,descricao,imagem
1,HTML,false,Linguagem de marcação para estruturação de páginas web.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/html.svg
2,CSS,false,Linguagem de estilos para definição do design e layout das páginas web.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/css.svg
3,JavaScript,false,Linguagem de programação para interatividade em páginas web.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/javascript.svg
4,TypeScript,true,Superset do JavaScript que adiciona tipagem estática.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/typescript.svg
5,Node.js,true,Ambiente de execução JavaScript no lado do servidor.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/node.svg
6,Java,true,Linguagem de programação orientada a objetos.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/java.svg
7,Python,true,Linguagem de programação interpretada de alto nível.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/python.svg
8,NestJS,true,Framework para construção de aplicações back-end em Node.js.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/nest.svg
9,React,true,Biblioteca JavaScript para construção de interfaces de usuário.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/react.svg
10,Vue.js,false,Framework progressivo para construção de interfaces de usuário.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/vue.svg
11,Angular,false,Framework front-end desenvolvido pelo Google.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/angular.svg
12,Svelte,false,Framework para construção de interfaces reativas.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/svelte.svg
13,PostgreSQL,false,Sistema de gerenciamento de banco de dados relacional avançado.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/postgresql.svg
14,MongoDB,false,Banco de dados NoSQL orientado a documentos.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/mongo.svg
15,GraphQL,false,Linguagem de consulta para APIs que permite obter apenas os dados necessários.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/graphql.svg
16,Docker,false,"Plataforma para criação, execução e gerenciamento de containers.",https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/docker.svg
17,Kubernetes,false,"Sistema para automação da implantação, escalonamento e operações de containers.",https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/kubernetes.svg
18,Terraform,false,Ferramenta de infraestrutura como código para gerenciamento de recursos na nuvem.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/terraform.svg
19,Firebase,false,Plataforma de desenvolvimento de aplicativos móveis e web da Google.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/firebase.svg
20,React Native,false,Biblioteca para desenvolvimento de aplicativos móveis com React.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/react.svg
21,Prisma,false,ORM para Node.js e TypeScript com suporte a diversos bancos de dados.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/prisma.svg
22,Supabase,false,Plataforma open-source para desenvolvimento de aplicativos web e APIs.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/supabase.svg
23,Tailwind CSS,false,Framework CSS para construção de interfaces de usuário.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/tailwind.svg
24,Flutter,true,Framework para desenvolvimento de aplicativos móveis nativos.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/flutter.svg
25,PHP,false,Linguagem de programação de uso geral.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/php.svg
26,ChatGPT,false,API de conversação baseada em GPT-3.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/openai.svg
27,Dart,false,Linguagem de programação para desenvolvimento de aplicativos móveis com Flutter.,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/dart.svg
28,Openai,true,Plataforma de inteligência artificial,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/openai.svg
29,Machine Learning,true, Subconjunto da inteligência artificial que se concentra no desenvolvimento de programas de computador que podem se ensinar a crescer e mudar quando expostos a novos dados,https://raw.githubusercontent.com/paulocesarml/projeto-portfolio-pc/refs/heads/main/Img/machine-learning.svg
30,Inteligencia Artificial,true,Inteligência artificial é a inteligência similar à humana exibida por mecanismos ou software,
